"office","candidatename","partyname","electiondate","machinevotessum","absenteevotessum","earlyvotessum","totalvotessum","totalvotespercentage","xmlreporttime","electionname"
"State Representative District 32","AMY SPAMPINATO","Republican Party","2024-11-05T00:00:00.000","1709","153","1083","2945","38.0934","2024-11-12T12:59:37.000","2024 General Election"
"City of Wilmington City Council District 7","CHRIS JOHNSON","Democratic Party","2024-11-05T00:00:00.000","1807","210","742","2759","100","2024-11-12T12:59:37.000","2024 General Election"
"City of Wilmington City Council District 6","YOLANDA M. MCCOY","Democratic Party","2024-11-05T00:00:00.000","1575","158","565","2298","100","2024-11-12T12:59:37.000","2024 General Election"
"City of Wilmington City Council District 5","CHRISTIAN WILLAUER","Democratic Party","2024-11-05T00:00:00.000","1461","128","594","2183","100","2024-11-12T12:59:37.000","2024 General Election"
"City of Wilmington City Council District 4","MICHELLE HARLEE","Democratic Party","2024-11-05T00:00:00.000","1475","191","1026","2692","100","2024-11-12T12:59:37.000","2024 General Election"
"City of Wilmington City Council District 3","ZANTHIA OLIVER","Democratic Party","2024-11-05T00:00:00.000","1487","115","653","2255","100","2024-11-12T12:59:37.000","2024 General Election"
"City of Wilmington City Council District 2","SHANE NICOLE DARBY","Democratic Party","2024-11-05T00:00:00.000","1940","204","1104","3248","100","2024-11-12T12:59:37.000","2024 General Election"
"City of Wilmington City Council District 1","COBY OWENS","Democratic Party","2024-11-05T00:00:00.000","1852","270","1421","3543","100","2024-11-12T12:59:37.000","2024 General Election"
"City of Wilmington President of City Council","TRIPPI CONGO","Democratic Party","2024-11-05T00:00:00.000","14329","1774","7430","23533","100","2024-11-12T12:59:37.000","2024 General Election"
"City of Wilmington Treasurer","DAWAYNE SIMS","Democratic Party","2024-11-05T00:00:00.000","14145","1791","7373","23309","100","2024-11-12T12:59:37.000","2024 General Election"
"City of Wilmington Mayor","JOHN C. CARNEY JR.","Democratic Party","2024-11-05T00:00:00.000","14757","1827","7607","24191","100","2024-11-12T12:59:37.000","2024 General Election"
"New Castle County Council District 12","KEVIN CANECO","Democratic Party","2024-11-05T00:00:00.000","10672","1421","7481","19574","100","2024-11-12T12:59:37.000","2024 General Election"
"New Castle County Council District 11","DAVID L. TACKETT","Democratic Party","2024-11-05T00:00:00.000","11097","1251","5290","17638","100","2024-11-12T12:59:37.000","2024 General Election"
"New Castle County Council District 10","JEA P. STREET","Democratic Party","2024-11-05T00:00:00.000","8202","882","3523","12607","100","2024-11-12T12:59:37.000","2024 General Election"
"New Castle County Council District 9","TIMOTHY P. SHELDON","Democratic Party","2024-11-05T00:00:00.000","11007","1223","3696","15926","100","2024-11-12T12:59:37.000","2024 General Election"
"New Castle County Council District 8","MICHAEL C. SENISCH","Republican Party","2024-11-05T00:00:00.000","4402","336","2266","7004","30.961","2024-11-12T12:59:37.000","2024 General Election"
"New Castle County Council District 8","JOHN CARTIER","Democratic Party","2024-11-05T00:00:00.000","8922","1236","5460","15618","69.039","2024-11-12T12:59:37.000","2024 General Election"
"New Castle County Council District 7","GEORGE SMILEY","Democratic Party","2024-11-05T00:00:00.000","10210","1006","4713","15929","100","2024-11-12T12:59:37.000","2024 General Election"
"New Castle County President of County Council","MELISSA S. BRAYMAN","Republican Party","2024-11-05T00:00:00.000","66015","5001","27679","98695","37.4773","2024-11-12T12:59:37.000","2024 General Election"
"New Castle County President of County Council","MONIQUE JOHNS","Democratic Party","2024-11-05T00:00:00.000","98862","13781","52008","164651","62.5227","2024-11-12T12:59:37.000","2024 General Election"
"New Castle County Executive","MARCUS HENRY","Democratic Party","2024-11-05T00:00:00.000","126907","16179","61760","204846","100","2024-11-12T12:59:37.000","2024 General Election"
"New Castle County Clerk of the Peace","LISA DARRAH","Democratic Party","2024-11-05T00:00:00.000","126371","16180","61313","203864","100","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 41","RICH COLLINS","Republican Party","2024-11-05T00:00:00.000","3808","424","5258","9490","64.4176","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 41","TOM BRETT","Democratic Party","2024-11-05T00:00:00.000","2157","473","2612","5242","35.5824","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 40","TIMOTHY D. DUKES","Republican Party","2024-11-05T00:00:00.000","3568","417","5101","9086","100","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 39","DANIEL B. SHORT","Republican Party","2024-11-05T00:00:00.000","3054","452","3934","7440","100","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 38","RONALD E. GRAY","Republican Party","2024-11-05T00:00:00.000","2789","1579","10973","15341","100","2024-11-12T12:59:37.000","2024 General Election"
"State Representative District 37","VALERIE JONES GILTNER","Republican Party","2024-11-05T00:00:00.000","2808","512","4930","8250","100","2024-11-12T12:59:37.000","2024 General Election"
